source,codice,denominazione,categoria,sottocategoria,rito,fase_processuale,termine,giorni,mesi,anni,decorrenza,natura,norma,criticita,classificazione_import,calcolabile_automaticamente,direction,matter_type,term_rule_code,nota_import
pct\data\legal_knowledge_base_modules\kb_98_top9_set7_parte1.json,011001,Sequestro conservativo (art. 671 c.p.c.),Procedimenti cautelari - tutela del credito,Sequestro conservativo a garanzia di un credito - ante causam o in corso di causa,Procedimento cautelare uniforme ex artt. 669-bis e ss. c.p.c.,prescrizione_decadenza,INIZIO CAUSA DI MERITO POST CAUTELARE ANTE CAUSAM,60,,,ordinanza concessoria,DECADENZIALE,art. 669-octies c.p.c.,MASSIMA,calcolabile_giorni,True,forward,civil,GP_TERM_CA033B6E6AE2,Importabile come template giorni se evento generatore e' valorizzato.
pct\data\legal_knowledge_base_modules\kb_98_top9_set7_parte1.json,011001,Sequestro conservativo (art. 671 c.p.c.),Procedimenti cautelari - tutela del credito,Sequestro conservativo a garanzia di un credito - ante causam o in corso di causa,Procedimento cautelare uniforme ex artt. 669-bis e ss. c.p.c.,impugnazione,Reclamo cautelare,15,,,ordinanza,perentorio,art. 669-terdecies c.p.c.,,calcolabile_giorni,True,forward,civil,GP_TERM_FEE16D82F926,Importabile come template giorni se evento generatore e' valorizzato.
pct\data\legal_knowledge_base_modules\kb_98_top9_set7_parte1.json,011001,Sequestro conservativo (art. 671 c.p.c.),Procedimenti cautelari - tutela del credito,Sequestro conservativo a garanzia di un credito - ante causam o in corso di causa,Procedimento cautelare uniforme ex artt. 669-bis e ss. c.p.c.,generico_da_classificare,Conversione in pignoramento,,,,,automatica dopo titolo esecutivo definitivo,art. 678 c.p.c.,,informativo_non_calcolabile,False,forward,civil,GP_TERM_E469808AACE5,Manca unita' numerica o decorrenza calcolabile.
pct\data\legal_knowledge_base_modules\kb_98_top9_set7_parte1.json,170001,Azione di nullità o decadenza di marchio (CPI artt. 19-28),Diritto industriale - proprietà industriale,Azione di nullità o decadenza di marchio registrato,Rito ordinario di cognizione,prescrizione_decadenza,Azione nullità ASSOLUTA - imprescrittibile,,,,,imprescrittibile,,,informativo_non_calcolabile,False,forward,civil,GP_TERM_6E0FD949B8A8,Termine imprescrittibile o senza scadenza calcolabile.
pct\data\legal_knowledge_base_modules\kb_98_top9_set7_parte1.json,170001,Azione di nullità o decadenza di marchio (CPI artt. 19-28),Diritto industriale - proprietà industriale,Azione di nullità o decadenza di marchio registrato,Rito ordinario di cognizione,prescrizione_decadenza,Azione nullità RELATIVA - tolerance prescription,,,5,conoscenza dell'uso del marchio posteriore,preclusione per tolleranza,art. 28 CPI,,termine_lungo_o_prescrizione,False,forward,civil,GP_TERM_C480E04C89C9,"Da registrare come regola/profilo, non come calcolo processuale ordinario."
pct\data\legal_knowledge_base_modules\kb_98_top9_set7_parte1.json,170001,Azione di nullità o decadenza di marchio (CPI artt. 19-28),Diritto industriale - proprietà industriale,Azione di nullità o decadenza di marchio registrato,Rito ordinario di cognizione,prescrizione_decadenza,DECADENZA NON USO,,,5,dalla registrazione o ultima utilizzazione,termine sostanziale,art. 24 CPI,,calcolabile_anni_da_verificare,False,forward,civil,GP_TERM_011B42D37774,Anni da convertire in mesi solo dopo verifica professionale.
pct\data\legal_knowledge_base_modules\kb_98_top9_set7_parte1.json,170001,Azione di nullità o decadenza di marchio (CPI artt. 19-28),Diritto industriale - proprietà industriale,Azione di nullità o decadenza di marchio registrato,Rito ordinario di cognizione,costituzione,Termine a comparire,120,,,,minimo legale post-Cartabia,,,calcolabile_giorni,True,forward,civil,GP_TERM_DDEC99DF0794,Importabile come template giorni se evento generatore e' valorizzato.
pct\data\legal_knowledge_base_modules\kb_98_top9_set7_parte1.json,170001,Azione di nullità o decadenza di marchio (CPI artt. 19-28),Diritto industriale - proprietà industriale,Azione di nullità o decadenza di marchio registrato,Rito ordinario di cognizione,costituzione,Costituzione convenuto,70,,,prima udienza,perentorio,,,calcolabile_giorni,True,backward,civil,GP_TERM_DFE6085A565D,Importabile come template giorni se evento generatore e' valorizzato.
pct\data\legal_knowledge_base_modules\kb_98_top9_set7_parte1.json,GUIDA_GARANZIA_VIZI_COSA_VENDUTA_140011,Garanzia per i vizi della cosa venduta (artt. 1490-1495 c.c.),Contratti - vendita - patologia,"Azione del compratore per vizi della cosa venduta - opzione tra risoluzione, riduzione prezzo, risarcimento",Rito ordinario di cognizione,prescrizione_decadenza,DENUNCIA VIZI,8,,,scoperta vizio,DECADENZIALE,art. 1495 c. 1 c.c.,MASSIMA,calcolabile_giorni,True,forward,civil,GP_TERM_B02C20F426DD,Importabile come template giorni se evento generatore e' valorizzato.
pct\data\legal_knowledge_base_modules\kb_98_top9_set7_parte1.json,GUIDA_GARANZIA_VIZI_COSA_VENDUTA_140011,Garanzia per i vizi della cosa venduta (artt. 1490-1495 c.c.),Contratti - vendita - patologia,"Azione del compratore per vizi della cosa venduta - opzione tra risoluzione, riduzione prezzo, risarcimento",Rito ordinario di cognizione,prescrizione_decadenza,AZIONE PER VIZI,,,,consegna bene,DECADENZIALE,art. 1495 c. 3 c.c.,MASSIMA,calcolabile_anni_da_verificare,False,forward,civil,GP_TERM_BDA7A6128B04,Anni da convertire in mesi solo dopo verifica professionale.
pct\data\legal_knowledge_base_modules\kb_98_top9_set7_parte1.json,GUIDA_GARANZIA_VIZI_COSA_VENDUTA_140011,Garanzia per i vizi della cosa venduta (artt. 1490-1495 c.c.),Contratti - vendita - patologia,"Azione del compratore per vizi della cosa venduta - opzione tra risoluzione, riduzione prezzo, risarcimento",Rito ordinario di cognizione,costituzione,Termine a comparire,120,,,,minimo legale post-Cartabia,,,calcolabile_giorni,True,forward,civil,GP_TERM_BA36E07670D3,Importabile come template giorni se evento generatore e' valorizzato.
pct\data\legal_knowledge_base_modules\kb_98_top9_set7_parte1.json,GUIDA_GARANZIA_VIZI_COSA_VENDUTA_140011,Garanzia per i vizi della cosa venduta (artt. 1490-1495 c.c.),Contratti - vendita - patologia,"Azione del compratore per vizi della cosa venduta - opzione tra risoluzione, riduzione prezzo, risarcimento",Rito ordinario di cognizione,costituzione,Costituzione convenuto,70,,,prima udienza,perentorio,,,calcolabile_giorni,True,backward,civil,GP_TERM_32C81F311BBD,Importabile come template giorni se evento generatore e' valorizzato.
pct\data\legal_knowledge_base_modules\kb_98_top9_set7_parte1.json,GUIDA_RESPONSABILITA_COSE_CUSTODIA_160021,Responsabilità da cose in custodia (art. 2051 c.c.),Responsabilità civile - responsabilità oggettiva o aggravata,Azione di risarcimento per danni causati da cose in custodia - inversione onere prova,Rito ordinario di cognizione,prescrizione_decadenza,PRESCRIZIONE GENERALE,,,5,data fatto o scoperta danno,prescrizione,art. 2947 c. 1 c.c.,ALTA,termine_lungo_o_prescrizione,False,forward,civil,GP_TERM_C7B3A0A8B398,"Da registrare come regola/profilo, non come calcolo processuale ordinario."
pct\data\legal_knowledge_base_modules\kb_98_top9_set7_parte1.json,GUIDA_RESPONSABILITA_COSE_CUSTODIA_160021,Responsabilità da cose in custodia (art. 2051 c.c.),Responsabilità civile - responsabilità oggettiva o aggravata,Azione di risarcimento per danni causati da cose in custodia - inversione onere prova,Rito ordinario di cognizione,prescrizione_decadenza,PRESCRIZIONE LUNGA SE REATO,,,secondo prescrizione reato,fatto,prescrizione,art. 2947 c. 3 c.c.,,informativo_non_calcolabile,False,forward,civil,GP_TERM_9EE6EB4ECB29,Manca unita' numerica o decorrenza calcolabile.
pct\data\legal_knowledge_base_modules\kb_98_top9_set7_parte1.json,GUIDA_RESPONSABILITA_COSE_CUSTODIA_160021,Responsabilità da cose in custodia (art. 2051 c.c.),Responsabilità civile - responsabilità oggettiva o aggravata,Azione di risarcimento per danni causati da cose in custodia - inversione onere prova,Rito ordinario di cognizione,costituzione,Termine a comparire,120,,,,minimo legale post-Cartabia,,,calcolabile_giorni,True,forward,civil,GP_TERM_1B9BE2A03317,Importabile come template giorni se evento generatore e' valorizzato.
pct\data\legal_knowledge_base_modules\kb_98_top9_set7_parte1.json,GUIDA_RESPONSABILITA_COSE_CUSTODIA_160021,Responsabilità da cose in custodia (art. 2051 c.c.),Responsabilità civile - responsabilità oggettiva o aggravata,Azione di risarcimento per danni causati da cose in custodia - inversione onere prova,Rito ordinario di cognizione,costituzione,Costituzione convenuto,70,,,prima udienza,perentorio,,,calcolabile_giorni,True,backward,civil,GP_TERM_3EB2EBC8B321,Importabile come template giorni se evento generatore e' valorizzato.
pct\data\legal_knowledge_base_modules\kb_98_top9_set7_parte1.json,GUIDA_DISTANZE_LEGALI_COSTRUZIONI_130011,Distanze legali tra costruzioni (artt. 873 e ss. c.c.),Diritti reali - rapporti di vicinato,"Azione per rispetto distanze legali tra costruzioni (edifici, muri, alberi, finestre, vedute)",Rito ordinario di cognizione preceduto da MEDIAZIONE OBBLIGATORIA (diritti reali),prescrizione_decadenza,AZIONE IMPRESCRITTIBILE (violazione permanente),,,,,imprescrittibile,,,informativo_non_calcolabile,False,forward,civil,GP_TERM_603B3D215E02,Termine imprescrittibile o senza scadenza calcolabile.
pct\data\legal_knowledge_base_modules\kb_98_top9_set7_parte1.json,GUIDA_DISTANZE_LEGALI_COSTRUZIONI_130011,Distanze legali tra costruzioni (artt. 873 e ss. c.c.),Diritti reali - rapporti di vicinato,"Azione per rispetto distanze legali tra costruzioni (edifici, muri, alberi, finestre, vedute)",Rito ordinario di cognizione preceduto da MEDIAZIONE OBBLIGATORIA (diritti reali),procedimentale,Mediazione obbligatoria - max,90,,,,,art. 6 D.Lgs. 28/2010,,calcolabile_giorni,True,forward,civil,GP_TERM_08CD1744B871,Importabile come template giorni se evento generatore e' valorizzato.
